,question,student_answer,correct
0,What is the role of a prototype program in problem solving?,High risk problems are address in the prototype program to make sure that the program is feasible.  A prototype may also be used to show a company that the software can be possibly programmed.,0
1,What is the role of a prototype program in problem solving?,To simulate portions of the desired final product with a quick and easy program that does a small specific job. It is a way to help see what the problem is and how you may solve it in the final project.,0
2,What is the role of a prototype program in problem solving?,A prototype program simulates the behaviors of portions of the desired software product to allow for error checking.,0
3,What is the role of a prototype program in problem solving?,"Defined in the Specification phase a prototype stimulates the behavior of portions of the desired software product.  Meaning, the role of a prototype is a temporary solution until the program itself is refined to be used extensively in problem solving.",0
4,What is the role of a prototype program in problem solving?,It is used to let the users have a first idea of the completed program and allow the clients to evaluate the program. This can generate much feedback including software specifications and project estimations of the total project.,0
5,What is the role of a prototype program in problem solving?,To find problem and errors in a program before it is finalized,0
6,What is the role of a prototype program in problem solving?,"To address major issues in the creation of the program. There is no way to account for all possible bugs in the program, but it is possible to prove the program is tangible. ",0
7,What is the role of a prototype program in problem solving?,you can break the whole program into prototype programs to simulate parts of the final program,0
8,What is the role of a prototype program in problem solving?,#NAME?,0
9,What is the role of a prototype program in problem solving?,Simulating the behavior of only a portion of the desired software product.,0
10,What is the role of a prototype program in problem solving?,A program that stimulates the behavior of portions of the desired software product.,0
11,What is the role of a prototype program in problem solving?,A program that simulates the behavior of portions of the desired software product.,0
12,What is the role of a prototype program in problem solving?,To lay out the basics and give you a starting point in the actual problem solving.,0
13,What is the role of a prototype program in problem solving?,To simulate problem solving for parts of the problem,0
14,What is the role of a prototype program in problem solving?,A prototype program provides a basic groundwork from which to further enhance and improve a solution to a problem.,0
15,What is the role of a prototype program in problem solving?,"A prototype program is a part of the Specification phase of Software Problem Solvin.  It's employed to illustrate how the key problem or problems will be solved in a program, and sometimes serves as a base program to expand upon.",0
16,What is the role of a prototype program in problem solving?,Program that simulates the behavior of portions of the desired software product,0
17,What is the role of a prototype program in problem solving?,it provides a limited proof of concept to verify with the client before actually programming the whole application.,0
18,What is the role of a prototype program in problem solving?,It tests the main function of the program while leaving out the finer details.,0
19,What is the role of a prototype program in problem solving?,To get early feedback from users in early stages of development.  To show users a first idea of what the program will do/look like.  To make sure the program will meet requirements before intense programming begins.,0
20,What is the role of a prototype program in problem solving?,it simulates the behavior of portions of the desired software product,0
21,What is the role of a prototype program in problem solving?,It simulates the behavior of portions of the desired software product.,0
22,What is the role of a prototype program in problem solving?,A prototype program is used in problem solving to collect data for the problem.,0
23,What is the role of a prototype program in problem solving?,To ease the understanding of problem under discussion and to ease the understanding of the program itself,0
24,What is the role of a prototype program in problem solving?,it simulates the behavior of portions of the desired software product,0
25,What is the role of a prototype program in problem solving?,The role of a prototype program is to help spot key problems that may arise during the actual programing.,0
26,What is the role of a prototype program in problem solving?,"the prototype program gives a general idea of what the end product will do,   without the time and effort to write out the entire program.",0
27,What is the role of a prototype program in problem solving?,to show that a certain part of the program works as it is supposed to,0
28,What is the role of a prototype program in problem solving?,"Prototype programming is an approach to programming that enables one to take an organized approach to developing an effective program with minimal errors and a strategic pattern when solving a problem. i.e. book gave an example of a costumer withdrawing money from a bank, the approach that was taking on a pseudo code level during the OOA/Design lvl before proceeding into creating a solution. ",0
29,What stages in the software life cycle are influenced by the testing stage?,Refining and possibly the design if the testing phase reveals problems in the design. Production can be affected if the program is unworkable in its current form which will lead to a later production time than originally estimated. Also affects coding because after testing you may need to rewrite the code for the program to remove errors.,0
30,What stages in the software life cycle are influenced by the testing stage?,The implementation phase and the maintenance phase are effected,0
31,What stages in the software life cycle are influenced by the testing stage?,"Verification, coding, refining the solution and maintenance are all influenced by the testing stage.",0
32,What stages in the software life cycle are influenced by the testing stage?,"In RUP the stages in the software life cycle are influenced by the testing stage is:  Elaboration phase- refined progject vision, iterative devilopment of core system, development of system requirements, more accurate time and cost estimates.  Construction phase- iterative development of remaining system.  Transition phase-testing and deployment of the system.",0
33,What stages in the software life cycle are influenced by the testing stage?,"Refining the solution, Production and Maintenance are all influenced by the Testing stage. ",0
34,What stages in the software life cycle are influenced by the testing stage?,"Elaboration, Construction, and Transition are all affected by testing",0
35,What stages in the software life cycle are influenced by the testing stage?,"Refining, Production, Maintenance",0
36,What stages in the software life cycle are influenced by the testing stage?,Refining the solution,0
37,What stages in the software life cycle are influenced by the testing stage?,#NAME?,0
38,What stages in the software life cycle are influenced by the testing stage?,Refining and Coding,0
39,What stages in the software life cycle are influenced by the testing stage?,"The second half of the Elaboration phase, Construction phase, and the Transition phase. ",0
40,What stages in the software life cycle are influenced by the testing stage?,"The refining step, the production step, and the maintenance stage.  ",0
41,What stages in the software life cycle are influenced by the testing stage?,"Elaboration, Construction, Transition",0
42,What stages in the software life cycle are influenced by the testing stage?,Refining.,0
43,What stages in the software life cycle are influenced by the testing stage?,"The testing stage has a direct influence on the final version of a program, being as it is the debugging and finalization of a software revision.",0
44,What stages in the software life cycle are influenced by the testing stage?,"Directly: Refining, coding.  Because Refining is right before the Testing Phase and Coding is right after the Testing Phase.  Indirectly: Production, Maintenance.  Because Refining occurs before these last two stages in the Software Life Cycle.",0
45,What stages in the software life cycle are influenced by the testing stage?,"Testing, refining, production, and maintenance.",0
46,What stages in the software life cycle are influenced by the testing stage?,"Depending on how the work is done, Testing is spread throughout the  process as to prevent errors from showing up later on due to lack of foresight. ",0
47,What stages in the software life cycle are influenced by the testing stage?,"Elaboration, construction, and transition.",0
48,What stages in the software life cycle are influenced by the testing stage?,"All stages are influenced except setting the program requirements.  If a test fails, it can change the whole design, implementation, etc of a program as well as the final outcome.",0
49,What stages in the software life cycle are influenced by the testing stage?,"Refining, production, and maintenance",0
50,What stages in the software life cycle are influenced by the testing stage?,coding and refining,0
51,What stages in the software life cycle are influenced by the testing stage?,"refining, production, maintenance.",0
52,What stages in the software life cycle are influenced by the testing stage?,"Removing logical errors, testing for valid data, random data and actual data.",0
53,What stages in the software life cycle are influenced by the testing stage?,1- specification 2- design 3- risk analysis 4- verification 5- coding 6- testing 7- refining 8- production 9- maintenance,0
54,What stages in the software life cycle are influenced by the testing stage?,"Refining stage, Production stage, and Maintenance stage.  ",0
55,What stages in the software life cycle are influenced by the testing stage?,Testing could affect all parts of the life cycle; it could make you go back   to specification if it does not test well.,0
56,What stages in the software life cycle are influenced by the testing stage?,coding,0
57,What stages in the software life cycle are influenced by the testing stage?,"The Individual components and steps such as  analysis, design, and implementing code  as well as the entire system are tested for execution of the requirements identified during the analysis stage. i.e. Main output ",0
58,What are the main advantages associated with object-oriented programming?,"Modularability, the ability to reuse parts of the program later in another program sometimes with completely different goals for the program. Also it makes it easier to debug code by dividing up the code into classes that each do a specific job and when the program fails at one job you only have one class to debug. Good for security purposes because it allows you to let someone use a program which sorts lists without having to give them access to the source code. ALso allows you to use inheritance and polymorphism.",0
59,What are the main advantages associated with object-oriented programming?,"This type of programming is more flexible, making it easier to add and modify the program.  It is also a type of a fail safe program, you check each individual module.  This eliminates redundant code and makes the program easier to read for other programmers.  When debugging the program it is easier to track down the source of a problem within a module rather than a 2 million line program.",0
60,What are the main advantages associated with object-oriented programming?,The main advantages to object-oriented programming are that existing classes can be reused and program maintenance and verification are easier.,0
61,What are the main advantages associated with object-oriented programming?,The advantages is that OOP allows us to build classes of objects.  Three principles that make up OOP are:  Encapsulation- Objects combine data and operations.  Inheritance- Classes can inherit properties from other classes.  Polymorphism- Objects can determine appropriate operations at execution time.,0
62,What are the main advantages associated with object-oriented programming?,Some advantages are existing classes can be reused and program maintenance and verification are easier to accomplish.,0
63,What are the main advantages associated with object-oriented programming?,Object oriented programming allows programmers to use an object with classes that can be changed and manipulated while not affecting the entire object at once. The classes all hold attrubutes that affect the object.,0
64,What are the main advantages associated with object-oriented programming?,"Reusable components, Extensibility, Maintainability, it reduces large problems into smaller more manageable problems.",0
65,What are the main advantages associated with object-oriented programming?,Encapsulation-objects combine data and operations Inheritance- classes can inherit properties from other classes Polymorphism- Objects can determine appropriate operations at execution time,0
66,What are the main advantages associated with object-oriented programming?,#NAME?,0
67,What are the main advantages associated with object-oriented programming?,Re-usability  and ease of maintenance,0
68,What are the main advantages associated with object-oriented programming?,"One of the main advantages is you can hide inner details a technique known by encapsulation. Objects combine the data and operations but you cannot see how it works.   Another advantage is you can reuse classes that have been defined earlier in the program, a method known as inheritance.   Finally another advantage is objects can determine appropriate operations at execution time a technique known as polymorphism. ",0
69,What are the main advantages associated with object-oriented programming?,"Existing classes can be reused, and program maintenance and verification are easier.",0
70,What are the main advantages associated with object-oriented programming?,Using different modules allows for easier debugging,0
71,What are the main advantages associated with object-oriented programming?,"Data encapsulation concept,the use of functions or methods to manipulate data.",0
72,What are the main advantages associated with object-oriented programming?,"Modular, reusable code, allowing faster deployment of solutions, and a more general view of a solution.",0
73,What are the main advantages associated with object-oriented programming?,"Coding and Debugging programs are usually easier, as either the compiler will specify the object that is working incorrectly, or the function an object was assigned to will be easier to identify.  The code itself also looks more organized and is easier to read and will help to avoid redundant coding.  Post-programming maintenance is also easier.  Also, modules can be reused several times in other programs without too much hassle.   Abstraction is the art of breaking down one big problem into smaller, simpler problems and solving them.  Many of the smaller problems are shared between unique complex problems, and creating modules to these solve these smaller repeated problems can save time when you encounter them again.",0
74,What are the main advantages associated with object-oriented programming?,"Variables can remain private. The code is easily modified and reusable, as well as easily implemented. Not to mention easier to read and follow along as an observer.",0
75,What are the main advantages associated with object-oriented programming?,Data Abstraction and control... it is possible to isolate elements from other elements a lot easier and prevent tampering of data.,0
76,What are the main advantages associated with object-oriented programming?,Encapsulation - Objects use operations without knowing how the operation works. Inheritance - cuts redundancy by reusing earlier classes. Polymorphism - objects select the correct operation to use in the situation.,0
77,What are the main advantages associated with object-oriented programming?,"They make it easier to reuse and adapt previously written code and they separate complex programs into smaller, easier to understand classes.",0
78,What are the main advantages associated with object-oriented programming?,"Existing classes can be reused, Program maintenance and verification are easier ",0
